ClaimSubmitted,DateOfIncident,Damages,District,Province,ClaimDetails,ClaimantsAssessment,AgreedPayment,DateClosed,Status
06 January 2010,26 December 2009,Cash $470 and chain/charm $120,Bastion,,Claimant while being treated for GSW had his personal property removed and put into a yellow clinical waste bag (run out of usual bags) but this was eventually incinerated in error.,,590.00,14 March 2010,S
06 January 2010,14 July 2009,Hit by shrapnel during ISAF/INS fight,Nad-e-Ali,Helmand,Shrapnel wound to head from explosion,,,06 January 2010,D
12 January 2010,08 January 2010,Mobile given away to wrong person,Nad-e-Ali,Helmand,Handed in his phone to the guards but they negligently handed it to someone else,,300.00,16 January 2010,S
12 January 2010,approx Mar 09,Death of Father and compound damage,Nad-e-Ali,Helmand,Father stayed behind with livestock while Claimant and his family moved away from ISAF/INS fighting - father killed and compound damaged by Jet dropping bombs,,"7,000.00",13 February 2010,S
13 January 2010,07 December 2009,Death of Daughter ,Nahr-e-saraj,Helmand,Daughter hit by shrapnel from air-strike and died later of injuries,,"1,000.00",04 April 2010,S
13 January 2010,24 November 2009,Death of his brother via ricochet from a warning shot fired at INS,Nahr-e-saraj,Helmand,Brother killed by richochet from warning shot,,"8,000.00",14 March 2010,S
13 January 2010,During Op PP,Death of daughter and compound destroyed,Nahr-e-saraj,Helmand,"Air-strike/bombardment in area killed daughter and destroyed compound 3 x rooms, compound wall and 1 x door",,"2,100.00",13 February 2010,S
13 January 2010,07 December 2009,Son GSW to leg  ,Nahr-e-saraj,Helmand,Warning shot fired hit son in left leg,,"2,000.00",24 April 2010,S
13 January 2010,17 December 2009,Son broken arm ,Sangin,Helmand,Compound hit by ISAF injuring son - ,,"1,500.00",03 October 2010,S
14 January 2010,13 November 2009,Brother shot and killed ,Nad-e-Ali,Helmand,While farming ISAF/INS fighting broke out and brothers went for cover but one was shot and killed in cross-fire,,,14 January 2010,D
14 January 2010,18 December 2009,Brother shot and killed ,Nad-e-Ali,Helmand,While on way back from farming with a torch on he was shot and killed allegedly by ISAF ,,,15 January 2010,D
18 January 2010,09 December 2010,Received shrapnel wounds,Nad-e-Ali,Helmand,While driving to visit family ISAF patrol on street fired warning shots and shrapnel caught him - alleges he was driving slowly,,,21 January 2010,D
18 January 2010,09 December 2009,Received shrapnel wounds,Nad-e-Ali,Helmand,While passenger in vehicle ISAF patrol on street fired flares and shrapnel caught him - alleges car was being driven slowly and troops did not give warning to stop,,,21 January 2010,D
19 January 2010,03 January 2010,Car damaged,Kabul,,Civilian car tried to squeeze through CP as same time as Mil vehicle causing it to drive into Mil vehicle,,,19 January 2010,D
19 January 2010,31 December 2009,Daughter injured by shrapnel and property damaged,Nahr-e-saraj,Helmand,During bombardment daughter severely injured by shrapnel and is in Pakistan hospital; 2 x rooms destroyed,,,20 January 2010,D
19 January 2010,11 October 2008,Son fragmentation injuries after to both thighs,Sangin,Helmand,During RPG attack son injured,,,20 January 2010,D
20 January 2010,05 January 2010,Mother killed during fighting ,Nad-e-Ali,Helmand,During contact between ISAF-ANA and INS mother caught in cross-fire,,"1,250.00",06 February 2010,S
21 January 2010,13 November 2009,"1 x son killed, 1 x son injured and self injured",Nad-e-Ali,Helmand,During contact between ISAF/INS 2 x sons and self caught in cross-fire,,,23 January 2010,D
21 January 2010,19 January 2010,Car hit by ISAF vehicle,Nad-e-Ali,Helmand,"Cars pulled over to let ISAF convoy through, smaller ISAF vehicles passed through but large vehicle hit front of LN car which also shunted back ",,,23 January 2010,D
21 January 2010,30 December 2009,BABAJI HELLFIRE 8,Nahr-e-Saraj,Helmand,2 brothers & 2 sons killed by hellfire strike,,"32,000.00",20 February 2010,S
21 January 2010,30 December 2009,BABAJI HELLFIRE 8,Nahr-e-Saraj,Helmand,1 brother killed by hellfire strike,,"8,000.00",20 February 2010,S
21 January 2010,30 December 2009,BABAJI HELLFIRE 8,Nahr-e-Saraj,Helmand,1 brother killed by hellfire strike,,"8,000.00",20 February 2010,S
21 January 2010,30 December 2009,BABAJI HELLFIRE 8,Nahr-e-Saraj,Helmand,1 brother killed by hellfire strike,,"8,000.00",20 February 2010,S
21 January 2010,30 December 2009,BABAJI HELLFIRE 8,Nahr-e-Saraj,Helmand,1 brother killed by hellfire strike,,"8,000.00",20 February 2010,S
25 January 2010,07 January 2010,Alleges 4 x brothers and father killed ,Nahr-e-Saraj,Helmand,4 x brothers and father killed in Babaji Hellfire,,,30 January 2010,D
25 January 2010,approx 25/08/09,Alleges 4 x killed and 5 x wounded ,Nad-e-Ali,Helmand,ISAF searched Bazaar and later that night bombed claimants home killing and wounding family ,,,23 February 2010,D
26 January 2010,05 December 2009,Alleges he was shot in chest,Nahr-e-Saraj,Helmand,During fighting between ISAF/INS he was caught in cross-fire,,"2,000.00",13 February 2010,S
28 January 2010,approx 16 Jan 10,Nephew shot and killed ,Nad-e-Ali,Helmand,During fighting between ISAF/INS he was caught in cross-fire,,,01 February 2010,D
28 January 2010,approx 13/01/10,Shot in right upper shoulder,Nahr-e-Saraj,Helmand,During fighting between ISAF/INS he was caught in cross-fire,,625.00,14 February 2010,S
28 January 2010,approx Nov 09,Daughter shot and paralysed,Nad-e-Ali,Helmand,During fighting between ISAF/INS she was caught in cross-fire,,"2,500.00",14 February 2010,S
28 January 2010,approx Aug 09,Wife shot and killed,Now Zad,Helmand,During fighting between ISAF/INS wife caught in cross-fired and killed,,,01 February 2010,D
30 January 2010,22 January 2010,RTA with Ridgeback,Nahr-e-Saraj,Helmand,Toyota corolla RTA with ISAF Ridgeback,,,01 March 2010,D
03 February 2010,22 November 2008,3 x brothers killed and self x injured,Nad-e-Ali,Helmand,ISAF allegedly killed his brothers and injured himself,,,03 February 2010,D
08 February 2010,approx Dec 09,Lost both legs ,Nad-e-Ali,Helmand,Lost legs in IED explosion,,,08 February 2010,D
08 February 2010,22 November 2009,Wife shot in chest,Nad-e-Ali,Helmand,Shot in chest by ISAF during fight with INS,,500.00,13 February 2010,S
09 February 2010,approx 2008,Cousin killed and 2 x injured,Nad-e-Ali,Helmand,"Cousin shot and killed, father of cousin injured and nephew in separate incident 3/4 months apart chest injury",,,22 February 2010,D
09 February 2010,approx Jun 09,1 x daughter and 2 x sons killed,Nad-e-Ali,Helmand,Children x 3 killed in AH,,,21 February 2010,D
10 February 2010,approx Jun 09,Wounded in Leg shrapnel,Nad-e-Ali,Helmand,Shrapnel injury due to mortar attack,,,10 February 2010,D
10 February 2010,27 February 2009,"Wife and son killed, mother injured",Nad-e-Ali,Helmand,"Wife, son killed and mother injured when mortar fire caused wall to collapse on them",,"9,000.00",15 May 2010,S
11 February 2010,approx Dec 09,Father and Brother killed,Nahr-e-Saraj,Helmand,Father and Brother killed by AH firing,,,19 February 2010,D
11 February 2010,approx Dec 09,Relative killed,Nahr-e-Saraj,Helmand,Relative killed by AH firing,,,19 February 2010,D
14 February 2010,04 February 2010,Bicycle,Lashkar Gah,Helmand,Ridgback allegedly drove over bicycle parked in Police HQ parking area,,,22 February 2010,D
14 February 2010,approx mid Jan 10,Son injured by mortar ,Nad-e-Ali,Helmand,Son injured by mortar fire and 1 x cow killed and compound damaged,,"1,000.00",27 March 2010,S
15 February 2010,28 September 2008,Son killed in air bombardment,Sangin,Helmand,ISAF/TB contact and aircraft bombardment,,,22 February 2010,D
15 February 2010,26 December 2009,Son killed,Sangin,Helmand,During IED clearance child was killed by shock from controlled explosion,,"2,000.00",01 April 2010,S,May 10 Recorded as paid
15 February 2010,10 August 2009,5 x killed and 6 x injured,Sangin,Helmand,Mortar attack killed and injured LN,,,24 February 2010,D
16 February 2010,approx 05 Feb 10,2 x injured and compound damaged,Nad-e-Ali,Helmand,Mortars injured x 2 and damaged compound,,,19 February 2010,D
16 February 2010,approx 26 Jan 10,Brother killed,Nad-e-Ali,Helmand,Brother killed during ISAF/INS fighting,,"2,000.00",06 March 2010,S
16 February 2010,approx 26 Jan 10,Mother killed ,Nad-e-Ali,Helmand,Mother killed during ISAF bombing,,"5,000.00",03 July 2010,S
16 February 2010,approx 26 Jan 10,Wife killed,Nad-e-Ali,Helmand,Wife killed during ISAF bombing,,,19 February 2010,D
17 February 2010,29 March 2009,,Nad-e-Ali,Helmand,Cousin killed during crossfire,,"4,000.00",06 March 2010,S
17 February 2010,25 July 2009,Father killed,Nad-e-Ali,Helmand,ISAF fired mortars onto Claimants camp killing his father at CP near crossing point ,,,22 February 2010,D
18 February 2010,10 February 2010,Wounded by shrapnel,Marja,Helmand,Claimant injured after shell fired during fighting,,,19 February 2010,D
18 February 2010,13 January 2010,Nephew killed,Now Zad,Helmand,Nephew killed by ISAF contact,,,19 February 2010,D
21 February 2010,23 December 2009,Mobile phone loss,Bastion,Helmand,Mobile given to the wrong person/lost,,160.00,,W
22 February 2010,approx Aug 09,Brother killed,Nad-e-Ali,Helmand,Brother killed by ISAF contact possibly          .,,"2,000.00",03 April 2010,S
22 February 2010,approx Aug 09,Father killed,Nad-e-Ali,Helmand,Father killed whilst trying to rescue a child ,,"5,000.00",04 April 2010,S
22 February 2010,approx Aug 09,Brother killed,Nad-e-Ali,Helmand,Brother killed in same incident as 3345 and 3344,,"5,000.00",03 April 2010,S
22 February 2010,approx Jan 10,Daughter injured,Nad-e-Ali,Helmand,Daughter injured by ISAF provided ID and was asked to get medical notes. 22/02/10,,"1,900.00",13 March 2010,S
22 February 2010,16 February 2010,Car damaged by British Forces,Lashkar Gah,Helmand,Vehicle damaged by either Ridge back or Mastiff outside the Kabul bank LKG,,,24 February 2010,D
23 February 2010,21 February 2010,Father injured,Nad-e-Ali,Helmand,Father injured by British Forces whilst farming,,"2,000.00",13 March 2010,S
23 February 2010,Approx Dec 09,Mother killed,Nad-e-Ali,Helmand,Mother killed when a morter hit his compound during fighting between ISAF and INS,,,24 February 2010,D
24 February 2010,Approx 8 months ago,"Daughter injured, compound damage and 10 sheep killed",Nad-e-Ali,Helmand,Daughter injured when mortar hit his compound ,,"1,650.00",13 March 2010,S
25 February 2010,Approx 2 months ago,2 sons killed.,Nad-e-Ali,Helmand,Claims 2 sons killed in airstrike.,,"6,000.00",01 May 2010,S
27 February 2010,10 December 2009,Son injured and compound damaged,Musa Qalah,Helmand,"Son injured (amputation of right leg) due to ISAF bombardment, also compound damaged",,,01 March 2010,D
01 March 2010,5/6 Nov 09,Fathers killed and injuries to claimant,Nad-e-Ali,Helmand,Father killed and claimant injured in an airstrike,,,02 March 2010,D
01 March 2010,15 March 2009,Claimant shot,Nad-e-Ali,Helmand,Claimant shot whilst in field,,"2,000.00",17 April 2010,S
03 March 2010,Approx 10 months ago,Claimant wounding and property damage.,Nad-e-Ali,Helmand,Claimant lost leg during contact and property damaged.,,"2,650.00",06 March 2010,S
04 March 2010,09 February 2010,Son shot and killed by ANA,Nad-e-Ali,Helmand,Son wasshot and killed during a contact ,,"1,250.00",21 March 2010,S
07 March 2010,20 December 2009,Mobile phone confiscated from owner at MEP - Hidden in vehicle. Sent to DOMEX. Not returned.,Bastion,Helmand,Did not declare mobile. It was confiscated and sent to DOMEX and never returned. ,,,06 June 2010,D
07 March 2010,02 February 2010,Mobile phone loss,,,Handed in his phone to the guards but they negligently handed it to someone else,,,11 June 2010,D
07 March 2010,21 February 2010,,Kabul,Kabul,NO CLAIM YET/ file in FMT folder,,,07 April 2010,Dormant
07 March 2010,12 January 2010,Mobile phone loss at stolen from guardroom in Kabul,Kabul,Kabul,Handed phone into gaurdsroom where it was then either lost or stolen,,87.00,20 March 2010,S
07 March 2010,13 February 2010,RTA,Kabul,Kabul,Claimant collided with Biritish Military vehicle,,129.00,20 March 2010,S
07 March 2010,23 February 2010,RTA,Kabul,Kabul,RTA with British Military personnel driving US owned/hired vehicle,,,12 March 2010,D
08 March 2010,30 January 2010,"Claimants wife killed, property and car damaged",Nad-e-Ali,Helmand,Claimants wife killed during contact between ISAF and INS.  Compound and car also destroyed,,"3,100.00",24 April 2010,S
08 March 2010,30 January 2010,Claimants brother killed,Nad-e-Ali,Helmand,Claimants brother killed and compound damage ,,"2,900.00",24 April 2010,S
08 March 2010,03 January 2010,Claimant shot,Nad-e-Ali,Helmand,Claimand wounded by ricochet and is now paralysed,,"2,000.00",,W
08 March 2010,Approx 5-6 months,Claimants wife shot,Nad-e-Ali,Helmand,"Wife killed, compound damaged, 1 cow and 1 sheep killed",,,08 March 2010,D
08 March 2010,12 February 2010,RTA,Lashkar Gah,Helmand,Car as hit whilst parked by the side of the road ,,,08 March 2010,D
08 March 2010,Approx 1 month ago,Claimants 3 sons injured in same incident,Nad-e-Ali,Helmand,Claimants 3 sons injured after airstrike. ,,,02 April 2010,D
08 March 2010,09 February 2010,Claimants husband and brother in law killed,Nad-e-Ali,Helmand,Claimants husband and her brother in law killed by ISAF mortar that hit their compound and 4 x children injured and 1 x cow killed. ,,,02 April 2010,D
08 March 2010,06 March 2010,Mobile phone lost/mistakenly given away,Lashkar Gah,Helmand,Phone was handed in at LKG PRT main gate and then lost/mistakenly given to wrong person. 08/03/10,,80.00,13 March 2010,S
09 March 2010,Approx 4 months ago,Wife and Daughter killed ,Nad-e-Ali,Helmand,Claims wife and daughter killed when 'tank rounds' hit his compound.,,,28 March 2010,D
09 March 2010,Approx. 6 months ago,Claimants 2 sons killed,Nad-e-Ali,Helmand,Claims 2 sons were killed by ISAF/TB whilst they were farming,,"4,000.00",03 April 2010,S
10 March 2010,Approx 4 months ago,Claiment Fathers killed.,Nad-e-Ali,Helmand,Father was killed while ISAE Mortars hit  their compound.,,"4,000.00",27 March 2010,S
11 March 2010,approx Dec 09,Claims shot in left thigh,Nad-e-Ali,Helmand,Alleges ISAF shot him as he left his compound - alleges no INS in area at time,,,12 March 2010,D
11 March 2010,approx 24 Feb 09,Wounded by shrapnel and property damaged by mortars,Nad-e-Ali,Helmand,Alleges compound 3 x rooms destroyed by mortar and he received shrapnel wounds,,,12 March 2010,D
11 March 2010,approx 20 Feb 10,"Nephew injured sep/oct 09, property/crop damage",Nad-e-Ali,Helmand,Nephew shot while working in fields approx sep 09 and during fighting between ISAF/INS approx feb 10 2 x compounds destroyed = 10 rooms and 30 Jarib of land not farmed due to fighting,,"3,125.00",19 June 2010,S
11 March 2010,approx Nov 09,Brother killed,Nad-e-Ali,Helmand,Brother killed by air bombardment near PB,,"4,000.00",27 March 2010,S
17 March 2010,approx Oct 09,Uncle Killed and compound damaged,Nad-e-Ali,Helmand,Uncle killed and compound damaged by mortars,,"3,900.00",,W
17 March 2010,16 March 2010,Dog shot and wounded,Kabul,,While carrying out duty as security guard his dog was shot by Military Dog Handler,,300.00,31 March 2010,S
23 March 2010,07 December 2009,Father shot in chest and shoulder,Nad-e-Ali,Helmand,Caught in crossfire between ISAF/INS fighting - while he was on roof of compound,,,12 April 2010,D
24 March 2010,08 December 2009,Son and Grandson injured Nephew Killed,Nahr-e-Saraj,Helmand,Mortars fired from PB and engaged with two fire missions of mortars and two straffing runs,,"9,500.00",11 September 2010,S
